Row Reviewer,Author,Year,Methods,Title,Did they clearly define hotspot?,Hotspot Type,Hot Spot Definition,Types of Orgs,Journal,Lat,Lon,Location,Depth,Summary,Persistence examined?,Drivers Directly Observed,Condensed_obs_drivers,Drivers Suggested,Condensed_ sug_drivers,Notes,Review complete?
Nerea,Bi et al.,2021,"Fishery, Model",Climate driven spatiotemporal variations in seabird bycatch hotspots and implications for seabird bycatch mitigation,Y,Fisheries & Bycatch,Areas of high seabird bycatch from fisheries,seabirds,Scientific Reports,39.349,-73.334,NW Atlantic,surface,"Looked at seabird bycatch in pelagic longline fishery by using Pelagic Observer Program data in the Northwest Atlantic from 1992-2017. Objectives were to identify hotspots of bycatch, correlate hotspots with oceanographic parameters, generate a predictive model, and then use model outputs to incorporate possible mitigation measures. It was found that high bycatch occurred along coast of US. Highest annual bycatch was 1997, and highest seasonal bycatch was summer. The model simulated changes in fleet behavior, like fishing only at night, proved effective in reducing probability of seabird bycatch. Hotspots varied in location and existence over the years, with changes corresponding to shifts in the gulfstream where seabirds exploit mesoscale eddies that aggregate prey. The model also predicted 1997 would be the highest year of bycatch. For future efforts, the authors recommended implementation of realtime data to alert fishers to areas of high bycatch (hotspots) and coordination with other fleet members to communicate this info.",N,"Gulfstream North Wall, fishing","circulation, fishing",,,,Yes
Nerea,Morales-Zarate et al.,2021,"Model, Fishery, Database","Loggerhead marine turtle (Caretta caretta) ecological facts from a trophic relationship model in a hot spot fishery area: Gulf of Ulloa, Mexico",N,Fisheries & Bycatch,An area with high bycatch records,sea turtles,Ecological Modelling,25.5,-113,Gulf of Ulloa,"surface,mid,demersal","Explored alternative hypotheses for recent high mortalities of loggerhead turtles in the Gulf of Ulloa that had been attributed to the fishing industry by constructing an Ecopath with Ecoism model. This model examines trophic ecology and energy flux incorporating production to biomass ratio, basic information from various predators and prey in the area using values published in the literature, sea surface temperature, and fishing effort. Created 12 temporary scenarios and found that loggerhead behavior responded to oceanographic and climate variables which when coupled with bycatch could result in elevated P/B ratios. Colder sea surface temperatures increased mortality of the species. ",N,primary productivity,primary productivity,,,,y
Nerea,Wibisono,2021,"Fishery, Model",Identifying hotspots for spatial management of the indonesian deep-slope demersal fishery,Y,Fisheries & Bycatch,"""Areas that led to high incidence of immature fishes in a catch, with those catches containing >75% immature fish""",bony fish,Conservation Science & Practice,-5,120,Indonesia,demersal,"Examined the Indonesian deep slope demersal fishery catch of snapper and grouper species by gear type and habitat in relation to MPA coverage. Indonesia is the second largest exporter of grouper and snapper. Current management practices are based on total allowable catch per species group, e.g. snappers being an entire group. The study area included 11 fishery management areas in the Indonesian EEZ, making use of catch and fishing data from 384 vessels collected via a data recording system. The three major fishing gear types were dropline, longline, and mix gear. Environmetal variables including depth, roughness, and bathymetric position index were examined and a canonical correspondence analysis was performed to find the relationship between fishing and environmental variables. To determine what factors most contributed to high juvenile catches, the authors constructed a GAM in R using the mgcv package. To find hotspots, they ran model simulations in the EEZ using a 0.1 degree grid interpolating depth, roughness and BPI for each fishing event and filtered for cells containing >% juveniles in the catch. These were then overlapped with existing MPA boundaries to see how well the hotspots were protected and visualized in R using 2D kernel density in ggplot2. Catch assemblage was unique across gears, with longlines tending to catch the most mature fish likely due to fishing deeper waters. Results showed that only 2.4% of juvenile hotspots were protected by MPAs, with the Java Sea Makassar Strait area being the hottest. In addition, the results show that just managing the gear or depth of fishing is not enough to protect the exploited species. The authors discussed how successful MPAs can be implemented, noting that they would need more resources and a high degree of collaboration between vested parties to prevent fishing effort from just shifting to another location. The overall importance of the work was its use for managers to identify priority areas for conservation and management. ",N,"depth, roughness, bathymetry","substrate, bathymetry",,,,y
Nerea,Hamilton et al.,2021,Biologging,Marine mammal hotspots in the Greenland and Barents Seas,Y,Freq of Occurence,"""lattice-based density estimator, kernel home range method, and Getis-Ord Gi* method. # of individuals and locations in grid cells"", ""individual hotspots identify areas used by the majority of tagged animals, while location hotspots identify areas heavily used, sometimes by only a small portion of the tagged animals.""",marine mammals,Marine Ecology Progress Series,76,-10,"Svalbard,Greenland","surface,mid,demersal","Using the crawl package in R, generated species tracks from 585 tags of 13 species from 2005-2019 around Svalbard and Greenland. Explored different hotspot methods, ultimately deciding on Getis-Ord Gi* analysis to identify hotspots for each species and species group (e.g. cetaceans, by location and individual and gridded into 10 km boxes. Also created null models to predict expected hotspots and help reduce bias. Hotspots were generally found in coastal areas of the Svalbard Archipelago and Northeast Greenland and Northern Barents Seas. Significant null model hotspot levels overlapped all of the species hotspots and location hotspots. Location hotspots covered smaller geographic area than individual hotspots (areas heavily used by individuals were smaller than those by majority of animals). The increase in human activity for oil and gas exploration and tourism make these hotspots highly important for protection in addition to the ways animal use them like breeding and feeding. Future efforts should focus on both sexes and various ages groups of the different species to gain more representative samples.",N,none,none,ecological niches,species attributes,Good paper to discuss methods for hotspot ID,Y
Steph,Bartolo et al.,2021,"Model, Database",Identifying hotspots of non-indigenous species' high impact in the Maltese islands (Central Mediterranean Sea),N,Invasives,Sum of impact of invasive species ,many,Marine Pollution Bulletin,36.004,14.368,Mediterranean Sea,"surface,mid,demersal","Researchers looked at invasive species hotspots in the Maltese Islands to help managers better allocate effort and funds.They used a Cumulative IMPacts of Invasive Alien (CIMPAL) species model on 19 species to prioritize action areas. They categorized impacts as minimal, minor, moderate, major and massive. Higher impact scores were found in sandy areas and caves, which were overall small areas compared to the total area surveyed. The CIMPAL model identified 3 areas of hihg NIS impact, and five top priority areas along with four high priority invasive species managers should take action on. Results were important for assissting stakeholders from politicians to scientists to allocate time and money effectively.",N,"substrate, bathymetry, habitat","substrate, bathymetry, habitat",,,,Y
Steph,Giacomo et al.,2021,Survey,Using drones and ROV to assess the vulnerability of marine megafauna to the Fundao tailings dam collapse,N,Abundance/Density,areas of high conspecific or multispecies agregations,"sea turtles,cetaceans",Science of the Total Environment,-20,-40,Brazil,surface,"Used drones and ROVs to survey the distribution of marine megafauna by running transects near the mouth of the Rio Doce off the coast of Brazil near a metal ore dumpsite and dam collapse. The researchers supplemented the remote tech with crewed overflights, bioacoustics, and in situ monitoring from the Santa Cruz Wildlife Refuge and Environmental Protection Area. Sampled between January 2019 and March 2020 over 19 campaigns, with 30 flights per campaign divided into 6 replicates. Cetaceans were counted and classed as adults, juveniles, or calves, and their behavior was recorded. Sea turtle presence was recorded and and aging was attempted if possible, and seabirds were mostly just observed down to family level due to difficulty of observing them in flight. The ROV was used to determine the microhabitat types the megafauna were using by driving 100m linear transects, with each dive considered a single sample. Taxa of fish and benthos were documented from the footage. Terns were most abundant seabirds, Guiana dolphins were present in high density feeding. Green turtles were the most common turtle and observed feeding at the river edge. Habitat use was segregated by taxa with small cetaceans using muddy bottoms and sea turtle in rigid substrate areas. ",N,"substrate, habitat","substrate, habitat",,,,Y
Steph,Grossi et al.,2021,Survey,Locating ship strike risk hotspots for fin whale (Balaenoptera physalus) and sperm whale (Physeter macrocephalus) along main shipping lanes in the North-Western Mediterranean Sea,Y,Multi-Risk & Threat,Locations where the species occurred at greater frequencies,cetaceans,Ocean and Coastal Management,43.188,8.142,Mediterranean Sea,surface,"Identified risk of whale strikes between ferries and fin and sperm whales in the Mediterranean Sea's Pelagos Sanctuary. Utilized species distribution models built on data from observers on ferries from 2009-2019. Data collected included ferry track, sea state, wind direction and speed, vis and cloud cover. Data were assimilated into QGIS and then maps were created, gridding it spatially into 1 km blocks. Seafloor structures rather than general bathy were used given better correllary strength per the literature. Chl-a and SST were also included on a climatological scale. Mean sightings per unit effort were calculated and then cells were categorized on whale presence as high frequnecy of occurence, regular, or occasional. GAMs were used to predict hotspot persistence in the entire area. Great interannual variability was observed with the finwhale, which was present in much greater numbers than the sperm whale. Sperm whales were in small discrete areas, usually right outside ports. Distance from edge of slope, proximity to a seamount and high variability of sea surface temperature in the summer were correlated with high persistence of fin whales. No dynamic data was included in the final model for sperm whales indicating a need for more research, but the simple model predicted greater depths near the shelf would have high sperm whale presence. The western-central area of the sanctuary had the highest persistence of hotspots. Most of the traffic in the santuary is passenger based, and the authors argue this an important first step in identifying areas of risk where mitigating actions like slowing down and alerting other vessels can be taken in appropriate time. ",Y,"distance from edge of slope, seamounts, SST, depth, vessel track","distance to physical features, temperature, bathymetry, shipping",,,,Y
Steph,Hilde et al.,2021,Survey,Diatom hotspots driven by Western Boundary Current instability,N,Abundance/Density,Concentrations of conditions suitable for diatoms,microalgae,Geophysical Research Letters,39,-71,NW Atlantic,surface,"Sampled a warm core ring from the RV Tommy Thompson to examine the biological community and drivers of its existence in the Mid-Atlantic Bight. Used a CTD, Video Plankton Recorder, and AUV to sample the warm core ring. Found chlorophyll levels “highly anomalous compared to typical chl levels”, with elevated concentrations of particulate organic carbon and nitrogen as well as silica and silicate drawdown, all pointing toward high diatom biomass. Imagery confirmed high diatom concentration with rod shaped diatoms and colonial phytoplankton largely dominating the samples from 50-100m. They tested whether upwelling resulting from the ring could produce the observed phenomena using a one-dimensional model at a sampled station by using upward vertical velocity similar to that in the natural system. The model confirmed in situ observations within 12 days. Hotspots were found where the water was upwelled sufficiently to receive enough illumination. This study is important because these warm core rings are likely to become more frequent and could have effects on the carbon export and regional ecosystems, with other western boundary current systems already showing similar events.",N,"upwelling, light, nutrients, salinity","circulation, light, nutrients, salinity",,,,Y
Steph,Katara et al.,2021,"Model, Survey, Satellite",Conservation hotspots for fish habitats: A case study from English and Welsh waters,N,Multi-Risk & Threat,Areas of essential fish habitat,"bony fish,mollusks,cart fish",Regional Studies in Marine Science,54,-5,UK,demersal,"Looked at marine essential fish habitat around the UK, specifically hotspot areas of human impact and of fish habitat. Used trawl surveys and environmental/habitat data to generate species distribution models. Models were generated for ecologically and commercially important shellfish, cephalopods, and fish. Used Getis-Ord Gi* to find areas of high cumulative impact from humans. Used fishing effort as a proxy for this derived from VMS and logbooks and calculated swept area ratio. Used all this to assess if current MPA coverage included EFH hotspots, thought these MPAs weren't designed with EFH protection. SDMs predicted the Irish Sea as important reproductive grounds for cod, the same was true of the North Sea for mackerel, and the Celtic Sea housed important areas for both species. Found a decent amount of overlap between human use and MPAs, suggesting MPAs weren't protecting much EFH (only up to ~16% vs ~40% overlap with fishing grounds). ",N,"human activity, wind, current velocity, chl-a, SST, bathymetry, wave velocity, mixed layer thickness, phytoplankton, POC, tidal current","human activity, circulation, primary productivity, temperature, bathymetry, nutrients",,,,Y
Steph,Linardich et al.,2021,Database,Trait-based vulnerability reveals hotspots of potential impact for a global marine invader,Y,Invasives,Areas where the greatest number of fish taxa could be most impacted by predation from high densities of invasive lionfish,bony fish,Global Change Biology,15.82,-74.896,Caribbean,"surface,mid,demersal","Forecast the effects of the invasion of lionfish on any potential prey fish they would encounter by assigning vulnerability values to 7 unique traits for each prey species. The traits were prey habitat type, nocturnal behavior, cleaning behavior, water column position, aggregation behavior, max body length and body shape derived from the IUCN redlist as well as ranges. Each trait was scored 1 as risky or 0 as not vulnerable, and then the scores were summed, with those above 6 being most vulnerable to lionfish predation. They created an NMDS ordination to determine the difference in trait values between species as well as Jaccard dissimilarity. They then aggregated species’ vulnerabilities and geographic ranges to determine predation risk hotspots, areas where the greatest number of fish species could be most impacted by lionfish predation due to high lionfish density. Belize and Curacao were identified as these hotspots. Segregating by depth, they found that half of 25 range restricted taxa were deeper living species (>60m). San Salvador Island was determined to be a hotspot, which could be due to dedicated ROV surveys in the area. The authors conclude by stating that inclusion of protection measures for species most sensitive to invasions, like those here with range restrictions and small bodies, should be taken into consideration during conservation planning.",N,"depth, habitat, behavior, body length, body shape, range size","bathymetry, habitat, species attributes",,,,Y
Steph,McComb-Turbitt et al.,2021,Survey,"Small-scale spatial distributions of long-finned pilot whales change over time, but foraging hot spots are consistent: Significance for marine wildlife tourism management",Y,Multi-Risk & Threat,Areas where specific behaviours were concentrated,cetaceans,Marine Mammal Science,46.83,-60.8,East Canada,surface,"Examined hotspots of longfinned pilot whales using whale watching vessel data off the coast of Nova Scotia from 2003-2016. Encounters between whales and vessels were defined as when the vessel was within 200m of a group of whales. Behavioral data (resting, foraging, etc.) were recorded and all observations were split into 10 min increments to standardize across platforms. Getis-Ord Gi* was used to find hotspots and the consistency of them was determined. Results indicated that the spatial distribution of encounters and search effort both increased through the study duration, as did activity patterns of the whales. Foraging hotspots were identified to the North in Pollett’s Cove and the South (Fishing Cove) ends of the study are and were persistent regardless of encounter rate changes and nearshore abundances. Foraging was found to decrease while resting was found to increase, though no resting hotspots were identified. While there could be natural reasons for the shifts in distributions, the authors suggest disturbance from whale watching vessels is a likely contributor, and advise that protecting small areas where foraging is most consistent could help mitigate disturbance to feeding and other behaviors. Management strategies should be flexible and adaptive given the plasticity in other cetacean distributions and behaviors. ",N,none,none,vessel disturbance,shipping,,Y
Z,Bayo et al.,2021,"Survey, Lab",Commercial gilthead seabream (Sparus aurata L.) from the Mar Menor coastal lagoon as hotspots of microplastic accumulation in the digestive system,N,Bioaccumulation,High concentrations of microplastic in tissue?,bony fish,International Journal of Environmental Research & Public Health,37.717,-0.787,Spain,demersal,"Analyzed the occurence, type, and amount of microplastic in the digetstive tract of seabream in a Spanish coastal lagoon. Looked at the stomach and intestines separately. Collected 17 fish and extracted pollutants using Fourier Transform Infrared Spectroscopy (FTIR). Fibers were the most abundant pollutant, followed by fragments and microbreads, all thought to be from dumped fishing gear due to a lack of environmental education to minimize marine pollution. Summer months had elevated levels of microplastics due to increased human activity.",N,"fishing gear, human activity","fishing, human activity",,,,
Z,Bernstein et al.,2021,"Survey, Lab",Stable isotope analysis reveals differences in domoic acid accumulation and feeding strategies of key vectors in a California hotspot for outbreaks,N,Bioaccumulation,Areas of Domoic acid accumulation/vectors of DA in the trophic web?,many,Harmful Algae,36.841,-121.858,California Current,"surface,mid,demersal","Researchers were looking for vectors of bioaccumulation during Harmful Algal Bloom outbreaks of Domoic Acid by combining stable isotopes of N and C with tissue samples known to contain Domoic Acid (DA) in the California Current to identify the pathways of DA transfer to upper trophic levels. They looked at multiple forage species including mussels, krill, anchovies, sardine, market squid, and dungeness crab. They identified isotopic niches in an effort to identify trophic linkages. Sardines and anchovies were the highest concentrations. Rockfish and squid had lower concentrations. Results are important because sardine and anchovy are prey of higher predators and transfer of energy up food chain, so they help concentrate DA.",N,taxa,species attributes,,,,
Z,Biswas et al.,2021,"Database, Review","Coastal and marine pollution in Bangladesh: Pathways, hotspots, and adaptation strategies",Y,Pollution,Areas of high coastal and marine polution,none,European Journal of Environment and Earth Sciences,22.338,91.231,Bangladesh,"surface,mid,demersal","Examined a variety of marine pollution sources in Bangladesh including agriculture, aquaculture, industry, plastic pollution, weather and ocean impacts, deforestion, and tourism. The authors characterized sources, flow patterns, and destinations of various pollutants by gathering data from the Bangladesh Bureau of Statistics. They then identified strategic adaptations and policy issues and proposed areas of research for each category. Remedial actions and adaptions included restoring and creating wetlands, resetablishing and protecting riparian buffers, conserving biodiversity, enhancing mangrove forest, and minimizing pollution.",N,"industry, ship breaking, sewage, tourism, dumping, agriculture, storms, tsunamis,deforestation","human activity, pollution, hydrology",,,,
Z,Dove et al.,2021,Survey,Observational evidence of ventilation hotspots in the Southern Ocean,N,Nutrients & Biogeochemical-Cycling,Areas with high mixing between layers in the ocean?,none,Journal of Geophysical Research,-30,50,Southern Ocean,"surface,mid","Used two gliders and a buoy to sample ocean layer mixing in the Southern Ocean. They found that the mixed layer depth is more variable in areas of high Eddy Kinetic energy (EKE), with backscatter correlated with warmer temperatures. Backscatter was largely shaped by front structure on a mesoscale, and biological scattering was largely aggregated by gravitational sinking. Found lots of biological scattering suggesting mixing areas are important for productivity. This mixing allows plankton communities not normally found together to intermingle and mix, especially in areas of high EKE.",N,"eddies, temperature, salinity, gravitational sinking, fronts","temperature, salinity, circulation, fronts",,,,
Z,Wang et al.,2021,"Survey, Lab",Investigating the microbial ecology of coastal hotspots of marine nitrogen fixation in the western North Atlantic,Y,Nutrients & Biogeochemical-Cycling,"""elevated N2 fixation""",microbes,Scientific Reports,35.516,-75.373,NW Atlantic,surface,"This study looked at the niches of nitrogen fixing microbes (diazotrophs) and a cyanobacteria symbiont, UCY-N. The authors proposed that the main host, B. bigelowii, is the main player in the community of nitrogen fixers. Samples were collected on research cruises in the Mid Atlantic Bight and New England shelf in the fall of 2015-2017. They processed water samples using rDNA techniques and found that diversity was negatively correlated with N fixation, meaning areas of low diversity had high N2 fixation. This suggests competition could be a limiting factor in eukaryotic diversity in the areas sampled. The patterns observed could also be a result of the definition of diversity and the field methods used to sample them. They also found a number of differing microbes associated with high N fixation and net community productivity. This is important in the context of a new long term ecosystem monitoring site which could help guide future investigations.",N,nitrogen fixation,primary productivity,,,,
Conner,Dudhat et al.,2022,Database,Spatio-temporal analysis identifies marine mammal stranding hotspots along the Indian coastline,Y,Mortality,"A ""section of coastline with statistically significant clustering [of stranding events] in both space and time"" calulated using Getis-Ord G* statistics.","cetaceans,sirenians",Scientific Reports,8.428,76.902,South India,surface,"Compiled ~270 years of stranding data from many sources to analyze the spatial distribution of marine mammals and stranding events along Southern Indian mainland and island coastlines. Due to lack of directed studies on marine mammals in India, this study provided a wealth of information on current and historical distributions of marine mammals. More than 90% of stranded animals were dead, and 8.5% of reports were categorized as mass strandings. Dugongs were the most frequently stranded species, though species varied by coastal location (East vs. West). Temporal analysis calculated an average of ~11 strandings per year, and seasonal trends showed that increases in stranding events coincided with monsoon periods for some species. Data were input into ArcGIS and hotspot analysis was run by separating the coastline into 170 segments of 50 km. Hotspots were rated as no pattern detected, new hotspot, consectutive hotspot, or sporadic hotspot (see Table 2). In light of the Indian government's recent Megafauna Stranding Management Guidelines, the authors advocated for the establishment of a nationwide stranding network with trained professionals in all areas, and laid out a logical framework to do so. Here, hotspots (generated from stranding data) were important in the larger context of understanding indicators of change, conservation, guiding national strategies, and improving stranding response efforts.
",N,none,none,"monsoons, fishing, pollution, shipping, climate change","hydrology, fishing, pollution, shipping, climate change",suggested,
Conner,Mustika et al.,2022,Database,When and where did they strand? The spatio-temporal hotspot patterns of cetacean stranding events in Indonesia,Y,Mortality,"""An area that has high occurences [of biodiversity] compared to neighboring locations...""",cetaceans,Oceans,-6,116,Indonesia,surface,"The authors used a stranding database in Indonesia to identify stranding hotspots and determine whether there were spatiotemporal trends associated with the hotspots. They had 568 stranding events across 26 years, with >92% being single stranding events. They used Getis-Ord Gi* and Mann-Kendall tests to assess temporal trends. To remove bias the dataset was split into two periods (pre and post 2012); increased efforts to identify strandings began in 2012. There was no significant difference by month of stranding frequency, though March and August had the highest numbers and December had the lowest. The authors identify areas that can be improved to reduce bias: training (species ID and field response), coverage (regular monitoring of beaches), and data collection methods (GPS locations and timing of stranding event). These efforts could help Indonesia increase conservation effectiveness.",N,none,none,,,Good explanation for lack of research in region in discussion,
Conner,Szesciorka et al.,2022,"Survey, Model",Multi-scale realationships between humpback whales and forage species hotspots within a large marine ecosystem,Y,Abundance/Density,"Areas that have high concentrations (mean density >95th percentile and counts) of ""prey species...across fine, regional, and large ecosystem scales.""","bony fish,krill,cetaceans",Ecological Applications,46.75,-124.488,California Current,"surface,mid","Used data from the 2018 SWFSC survey. Past studies didn't link whales and their prey, but studied each species in spatiotemporal isolation due to sampling challenges. At coarse scales, relationships between predators and prey may be positive, while at finer scales these relationships disintegrate; ""[A] multi-scale assessment may enhance understandings of ecosystem function and inform ecosystem-based management."" This study sought to identify prey hotspots (single and multi-species) from clusters of prey aggregations at scales from 25-100 km. Specifically, they attempted to model predator-prey realtionships using hotspot prey metrics, and to identify functional relationships between humpback whales and their prey (anchovy, herring, and krill). Both herring and anchovy data were converted into biomass from acoustics and trawl catches, while krill biomass was estimate using acoustic backscatter methods. All three prey species were averaged across 100 m intervals along each transect, and humpback whales were summed for the entire transect. To model predator-prey relationships, a GAM was constructed using the hot spot metrics at 25, 50, and 100 km transect/survey segments. Prey hotspots varied spatially, with distinct patches off Vancouver, the Columbia River, San Francisco and Monterey Bays for different species. Herring hotspots were mainly around Vancouver, anchovy were most dense near Monterey Bay and San Francisco, and krill varied along the coast but were present almost everywhere. Hotspot distribution reflected that of the raw prey density, and generally co-occured with locations having more humpbacks. The GAM found no relationship between whales and krill/herring, but a slightly positive one with anchovy. For anchovy, this relationship increase leveled off and decreased at larger scales. Models of humpback whales and the multi-species prey hotspots revealed overall positive increases at 25, 50, and 100 km. The authors reflected on potential weaknesses, which included a lack of oceanographic features in their models and the fact that different prey types may prefer different habitats that are more or less accessible by predators. Management implications section takes into account differential risk with fishing and vessel traffic. They conclude by stating that future work could focus on how climate change will affect predator and prey distribution and abundance and whether these changes increase anthropogenic threats/reveal new threats. The importance of hotspots were their ability to increase understanding of entanglement risk, ship strikes, noise and pollution threats, and fisheries impacts.",N,none,none,,,"Cite this in my QE proposal, especially in the background",
Dan,Dimitriadis et al. ,2022,Database,Stranding records and cumulative pressures for sea turtles as tools to delineate risk hot spots across different marine habitats,Y,Mortality,Areas of high risk of stranding/human impact that leads to stranding,sea turtles,Ocean and Coastal Management,38.903,20.288,Mediterranean Sea,surface,"This paper compiled stranding data from 2010-2015 and combined it with anthropogenic influences to generate hotspots of risk for sea turtles in the eastern Ionian Sea (Central Mediterranean). Stranding data was obtained from various agencies including NGOS, port authorities, fisheries departments, and MPA staff. Anthropogenic data included commercial traffic info from marinetraffic.com, human activity from satellite imagery, and fishing and noise pressure from the literature. The authors mapped turtle strandings into 10x10 km grids with a weighting that accounted for coastline since more coastline meant more strandings. They also interviewed 12 sea turtle experts for their opinions and expertise on each anthropogenic pressure. Then the cumulative human pressures were averaged for each cell, producing a weighted score of 1-4 which corresponded to low risk to very high risk. 3 nearshore risk hotspots were clearly delineated, and only ~3% of the surveyed area was deemed low risk. The Ionian Sea is an important foraging, nesting, and migratory area for sea turtles, and many of the higher risk areas were in MPAs which was disconcerting. Risk hotspots had different impacts on different turtle life stages and associated habitat use. The authors argued that these areas could help aid managers and policy makers in targeted and transparent mitigation efforts. ",N,"fishing, noise, shipping","fishing, pollution, shipping",,,,
Dan,He et al.,2022,Lab,Suspended particles are hotspots for pathogen-related bacteria and ARGs in coastal beach waters of northern China,N,Metabolic Production,Areas of high microbe metabolic activity that produce antibiotics?,"microbes,plankton",Science of the Total Environment,36.086,120.458,China,surface,Researcher theorized that suspended particles are hotspots for pathogenic microbes and microbe metabollic activity and that some of these mircobes could possess antibiotic resistant genes (ARG). The authors sampled 3 beaches in coastal waters of Northern China for marine suspended particles and associated bacteria capable of producing ARG. They compared free living (FL) and particle associated (PA) bacteria ARGs by using PCR techniques and non-metric multi-dimensional scaling to analyze 3 samples from each of the 3 beaches (collected in triplicate). They also analyze the taxanomic diversity of pathogen related genera. Results showed that PA bacteria produced significantly higher ARGs and that suspended particles did not affect genera diversity. Suspended particles also harbored more pathogenic bateria compared to surrounding waters. Nutrient enrichment on the surface of the particles was posited as one explanation for these findings as well as lower toxic compound accumulation and strong tidal actions resuspending sediments. ,N,"nutrients, tides, physiology","nutrients, circulation, species attributes",,,,
Dan,Hudson et al.,2022,"Acoustics, Survey, Model",Subsurface eddy facillitates retention of diel vertical migrators in a biological hotspot,Y,Foraging,"""Areas of high biological activity""","plankton,krill",Journal of Geophysical Research: Oceans,-64.9,-64.2,Antarctica,"surface,mid","The authors examined the relationship of diel vertical migration with mixed layer depth and day length in western Antarctica around the Palmer Deep Canyon biological hotspot. They hypothesized that a subsurface eddy increased the residence time of vertical migrators, with the depth of the boundary layer between the surface mixed layer and subsurface eddy significantly impacting residence times. In addition, they suggested that vertical migration in the subsurface feature increases residence times along with shallow mixed layer depth and longer day length, creating a reliable mechanism of hotspot formation and a food resource for foragers such as whales and penguins. They used a fixed surface mooring with an echosounder of high reoslution and two gliders running perpendicular transects repeatedly during the austral summer. Scatterers were characterized in postprocessing, with krill swarms in particular identified from glider data (code available). A regional ocean modeling system was used to test the impact of diel vertical migration on particle residence time. They found that residence time of non-migrating particles increased with depth, and depths between 10-50 m had no statistical difference on residence times over differing day length. However, extending down to 300 m, the effects of day length and mixed layer depth became very significant, with a weighted least squares regression model explaining 94% of the variation and particles at the deepest depths exhibiting 385% higher residence times.. The authors state the importance of understanding how this hotspot forms lies in making informed management decisions and understanding the impacts of climate change. They also list a few limitations of their study (greater observed depth of scatterers and absence of horizontal migration in models) but conclude that the processes described here are likely occuring in similar open and closed systems around the world, explaining the establishment and persistence of biological hotspots and food for higher trophic levels.",Y,"depth, MLD, day length, DVM, eddies, bathymetry","circulation, light, species attributes, bathymetry",,,,
Dan,Siro et al.,2022,Review,Marine actinomycetes associated with stony corals: a potential hotspot for specialized metabolites,N,Metabolic Production,Seems to infer a high concentration of novel metabolites?,"coral,microbes",Microorganisms,NA,NA,Global,demersal,"An overview on how stony coral are likely an untapped resource for new metabolites from coral-associated marine actinomycetes (bacteria). They reviewed studies and identified that 11 new bacteria species from hard corals were discovered over the last 15 years as well as 13 new compounds with pharmaceutical promise including antibacterial, antifungal, and cytotxic properties.",N,none,none,,,Thinking of deleting this one...,
Dan,Mendez-Sanchez et al,2022,Survey,Population trends of seabirds in Mexican Islands at the California Current System,N,Diversity & Endemism,Diverse assemblage of seabirds in a concentrated area?,seabirds,PLOS One,27.972,-115.336,Baja California,surface,"The authors conducted a seabird population assessment in the Baja California Pacific Islands off Mexico, a known seabird hotspot and recognized Important Bird Area, relying on field surveys compiled into a multiyear monitoring dataset beginning in 2003 for 19 sea birds. With this information, they determined that >50% of the populations of 14 seabirds were increasing and 18% were decreasing. This was the first multi-day and multi-colony assessment of growth trends, and is considered conservative as they were only able to estimate half of all colonies. ",N,none,none,,,Good to show how hotspots are used to assess populations,
Gemma,Lotze et al.,2022,"Review, Model, Survey, Database",Long-term ocean and resource dynamics in a hotspot of climate change,N,Warming,"Could also be a ""hotspot of climate change"" per the title, but later in paper briefly discussed biodiversity hotspots","bony fish,cetaceans,pinnipeds,microalgae,plankton",Facets,43,-63,NW Atlantic,"surface,mid,demersal","A big synthesis of historical and projection data on climate change in the NW Atlantic. The authors compiled and synthesized paleoceanographic, archaelogical, historical, and modern records of temperature, biogeochemical cycling, organism hardparts, circulation models, food web and ecosystem structure, and human influence from direct and inferred observations as well as modeled hind and forecasts. They found a 4000 year period of cooling followed by rapid warming as species such as cod reduced in size due to warming waters and increased fishing pressure. Together, this led to collapse of cod stocks and a change in ecosystem communities as warm-affiliated species followed warming waters north while those with an affinity for cold water moved deeper and poleward. Changes in plankton community structure from monitoring surveys over the past several decades found similar results. Multiple model projection studies found that declines in thermal habitat and biomass of important species are predicted to increase with climate change. This has major ramifications for ecosystems as a whole, with climate change producing conditions not seen in nearly 4,000 years. This will likely lead to more fish stock collapses and challenge species' abilities to adapt or migrate to more favorable conditions. Looking at past data, there have not been major changes in relative abundance, composition, or size of harvested fish explained by climate change from 4000-1000 years ago. This may be due to the slower rate of climate change during that period allowing for adaptation, higher pre-exploitation abundances making species more resilient to disturbance, or forced into other open niches in less optimal conditions. Today's species could respond more rapidly if habitats and niches are available or they may be more vulnerable and sensitive to combined human and natural impacts. The authors conclude that a conservation and management process with an emphasis on adaptive, ecosystem-based precautionary approaches is needed to account for shifting historical and future baselines, manage exploitation rates, and develop climate-informed reference points. Strategies should account for warm-induced shifts in productivity, species assemblage and food web structure including increased monitoring, and a reduction in fishing pressure to increase resiliency. These actions will help maintain hotspots and help meet the US goal of 30% ocean protection by 2030. MPAs informed by climate change should be constructed and include representation of different habitats, and impacts including climate refugia that are likely to experience little change. One of the main future work pieces was projecting regional changes.",N,"climate change, SST, stratification, temperature, oxygen, prey abundance, predator abundance, fishing","human activity, temperature, DO, circulation, species attributes, species attributes, fishing",,,Definitely cite in conclusion of review paper - Note to check hotspot type and definition for this one,Y
